"About the data: Exported on May 03, 2025. Criteria: '(""Real Estate"" OR ""Smart Real Estate"" OR ""PropTech"" OR ""Digital Real Estate"")  AND (""Sustainability"" OR ""Sustainable"" OR ""Green Building"" OR ""Energy Efficiency"" OR ""Net-Zero"")  AND (""Digital Transformation"" OR ""Emerging Technologies"" OR ""Artificial Intelligence"" OR ""AI"" OR ""Automation"" OR ""IoT"" OR ""Blockchain"" OR ""Big Data"" OR ""Cyber-Physical Systems"")' in title and abstract; Publication Year is 2025 or 2024 or 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017 or 2016.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science & Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
917,pub.1167293879,10.31866/2617-796x.6.2.2023.293619,,,Диджиталізація як фактор розвитку сфери послуг,"The purpose of the study is to summarise and present the main advantages of digitalisation as a factor in the development of organisations, in particular in the service sector. Research methods. The study used such general scientific research methods as generalization and systematisation (to distinguish approaches to the definition of digitalisation from previous studies), observation, analysis and synthesis (to specify the benefits of digitalisation in the activities of organisations), which allowed the authors to analyse the concept of “digitalisation” in the context of its impact on the development of service sector enterprises. The scientific novelty of the study is to highlight and actualize the main advantages of the impact of digitalisation on the development of the service sector. Conclusions. The current challenges facing the development of the service sector require enterprises and organisations to act following current market conditions, such as globalization and digitalisation. That is why digital transformation or digitalisation is becoming a priority area of their development. It is found that, in general, digital transformation is understood as the process of integrating digital technologies into all areas of business, which is manifested in fundamental changes in how business operates and how it brings value to consumers. It is determined that digitalisation is inherent in virtually every sphere of human activity, especially in the service sector and the provision of various services, as the Internet plays an important role and has a significant impact on the daily activities of service users around the world. Digital transformation helps to increase the efficiency, effectiveness, sustainability and innovation of service offerings by developing and delivering new types of services, engaging customers in the processes of creating and delivering services and improving their quality, etc. The article also examines such motivational factors for the transformation of various business structures as changes in consumer behaviour and expectations, digital shifts in companies, and changes in the competitive environment. It is established that the most active digitalisation is taking place in the public services sector. An example of such a transformation is the introduction of the Diia portal, which allows most of the needs of citizens and businesses to be met with electronic services. Digital transformation processes are also observed in education, healthcare, real estate, construction, finance, etc. The article highlights the main advantages of digitalisation as a factor in the development of the service sector, including improving the efficiency of communications with consumers, modernising information and communication technologies, expanding competitive advantages, improving the quality of services, optimising production costs and implementing improved business processes, developing digital literacy, developing the production of digital products and services, creating a positive image of the organisation in the market, etc. Digital transformation is one of the biggest trends of the 21st century, affecting a significant number of organisations moving forward.",,,Digital Platform Information Technologies in Sociocultural Sphere,,,,2023-11-13,2023,2023-11-13,,6,2,442-457,All OA; Gold,Article,"Опар, Наталія; Нішко, Богдана","Опар, Наталія (Івано-Франківський національний технічний університет нафти і газу); Нішко, Богдана (Івано-Франківський національний технічний університет нафти і газу)",,"Опар, Наталія (Ivano-Frankivsk National Technical University of Oil and Gas); Нішко, Богдана (Ivano-Frankivsk National Technical University of Oil and Gas)",1,1,,0.87,http://infotech-soccult.knukim.edu.ua/article/download/293619/286997,https://app.dimensions.ai/details/publication/pub.1167293879,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context",
912,pub.1152046009,10.1016/j.omx.2022.100204,,,"Sustainability, livability and wellbeing in a bionic internet-of-things","To address climate change, environmental monitoring and wellness more generally on a global scale, a new concept is presented - the bionic internet-of-things, or b-IoT. We propose the utilization of existing organic “sensor” technology that nature has provided and discuss a future adapting these to an existing inorganic internet to truly open up a global IoT. The use of organisms, in the first instance plants, bring an additional physical and psychological factor, connecting up living in things in a way that is consistent with natural symbiosis but extended over a global and potentially galactic scale. These plants not only monitor the environment, they interact to enable it to thrive, producing an ecosystem that consumes CO2, generates oxygen, recycling land and providing an environment for other organic species to develop. In contemporary real estate development, the need for a more whole ecosystem approach is recognized and that technology plays a vital role towards that. Thus, we identify wellness and wellbeing as an integral part of all future technology development. A fundamental challenge is connecting such sensors to the IoT. We briefly review technologies of relevance in the context of material, health and environmental considerations, and discuss novel transducer mechanisms. To assess sensor capability, we review our recent work on measuring leaf material properties using contact angle mapping, demonstrating a diversity of potential for environmental monitoring from this method alone. We also review some examples of common botanical properties that already exist which can in principle be readily coupled to existing transducers to create the hybrid b-IoT. We briefly speculate into the future of materials at the sensor end and into reaching space that can meet low cost and provide advanced functionality to help connectivity and integrate fibre and fibreless technologies.","Y. Guo acknowledges an Australian International Research Training Program Scholarship (IRTP, Department of Education and Training, Australia) under Prof Canning. Private funding supporting this work is acknowledged.",,Optical Materials X,,,,2022-10,2022,,2022-10,16,,100204,All OA; Gold,Article,"Canning, John; Guo, Yunlong; Chaczko, Zenon","Canning, John (Laseire Consulting, Sydney, NSW, Australia; PhoenixZ Pty Ltd, Sydney, NSW, Australia; Independent Scholars Association of Australia, Australia; School of Chemistry, University of Sydney, NSW, 2006, Australia); Guo, Yunlong (School of Electrical Engineering and Telecommunications, University of NSW, Sydney, NSW, Australia); Chaczko, Zenon (Faculty of Design, Dept. of Computer Science SWPS University of Social Sciences Humanities, Warsaw, Poland)","Canning, John (Laseire Consulting, Sydney, NSW, Australia; PhoenixZ Pty Ltd, Sydney, NSW, Australia; Independent Scholars Association of Australia, Australia; The University of Sydney)","Canning, John (Laseire Consulting, Sydney, NSW, Australia; PhoenixZ Pty Ltd, Sydney, NSW, Australia; Independent Scholars Association of Australia, Australia; The University of Sydney); Guo, Yunlong (UNSW Sydney); Chaczko, Zenon (University of Social Sciences and Humanities)",5,5,,2.03,https://doi.org/10.1016/j.omx.2022.100204,https://app.dimensions.ai/details/publication/pub.1152046009,46 Information and Computing Sciences; 4605 Data Management and Data Science,
902,pub.1186482902,10.15292/iu-cg.2024.12.036-045,,,From Analysis to Classification: Automation of Residential Building Classification Using GIS Tools,"The research focuses on the development of a GIS analytical tool for the classification of residential buildings, designed to support spatial planning and urban analysis in Slovenia. Traditional spatial data analysis methods are time-consuming and often rely on manual procedures, limiting their efficiency and applicability for large-scale projects. Developed tool integrates morphological analysis within a GIS environment to enable the automated classification of buildings based on various typologies and patterns, representing a significant advancement in the automation and standardization of spatial data analysis. The tool integrates data from the real estate cadastre with established rules from literature, allowing for consistent classification of buildings into detached and connected types, with further classification by typology and building pattern. The development process utilized PostgreSQL with the PostGIS extension for data processing and QGIS for visualization, ensuring accessibility through open-source software. The tool was tested in three Slovenian cities - Maribor, Velenje, and Škofja Loka - where it proved to be reliable and adaptable to local conditions. Results show that the GIS tool simplifies the work of spatial planners and supports sustainable urban development, as it facilitates monitoring urban growth and adjusting spatial policies based on precise building data. The development of such tools in Slovenia offers significant potential, as it enhances existing spatial data and allows for future improvements.",,,Igra ustvarjalnosti - Creativity Game,,,,2024-12-15,2024,2024-12-15,,12,,36-45,All OA; Gold,Article,"Vogrinec, Mara; Koblar, Simon; Fikfak, Alenka; Grom, Janez P.","Vogrinec, Mara (University of Ljubljana, Faculty of Architecture, Slovenia); Koblar, Simon (Urban Planning Institute of the Republic of Slovenia, Ljubljana, Slovenia); Fikfak, Alenka (University of Ljubljana, Faculty of Architecture, Slovenia); Grom, Janez P. (University of Ljubljana, Faculty of Architecture, Slovenia)",,"Vogrinec, Mara (University of Ljubljana); Koblar, Simon (Urban planning Institute of the Republic of Slovenia); Fikfak, Alenka (University of Ljubljana); Grom, Janez P. (University of Ljubljana)",0,0,,,https://doi.org/10.15292/iu-cg.2024.12.036-045,https://app.dimensions.ai/details/publication/pub.1186482902,33 Built Environment and Design; 37 Earth Sciences; 3704 Geoinformatics; 40 Engineering; 4013 Geomatic Engineering; 44 Human Society; 4406 Human Geography,11 Sustainable Cities and Communities; 15 Life on Land
901,pub.1185659333,10.1108/jpif-01-2025-0010,,,Real Estate Insights: Reshaping the skills of future property professionals: the IDEA framework,"Purpose The property profession is in the midst of significant change, driven by new technologies, evolving societal needs and the growing emphasis on sustainability. This article explores how property professionals can adapt to these changes using the IDEA framework – integration, digitisation, engagement and adaptability. The goal is to outline the essential skills and strategies that can help professionals stay relevant and effective in a rapidly changing industry.   Design/methodology/approach Informed by discussions at the Pacific Rim Real Estate Society (PRRES) 2025 conference, this article combines academic insights with industry expertise. By examining each pillar of the IDEA framework, the article provides practical examples and case studies of how property professionals can integrate new technologies, digitise their practices, engage with key stakeholders and remain adaptable to the evolving demands of the sector.   Findings The research reveals that the future of property professionals hinges on their ability to integrate diverse areas of knowledge, such as data science, urban planning and environmental considerations, into their work. Technology, particularly AI and geospatial data, is transforming property valuation, but professionals must also address the challenges of bias and transparency. Engagement with stakeholders – from regulators to local communities – is crucial for ensuring ethical practices, while adaptability through continuous learning, internships and real-world experience is key to thriving in this fast-changing field.   Practical implications The findings underscore the need for property professionals to stay ahead of technological advancements and market shifts by embracing ongoing learning and practical experience. Suggestions include incorporating geospatial data into property assessments, developing ethical guidelines for AI and promoting flexible career paths through industry internships and active learning. These strategies will help professionals keep pace with industry change and enhance the profession’s long-term resilience.   Originality/value This article presents a unique approach to preparing property professionals for the future, focusing on the practical application of the IDEA framework. It offers a fresh perspective on integrating technology, ethics and multidisciplinary collaboration into everyday practice. The article contributes valuable insights bridging the gap between academic theory and real-world application, providing thought leadership and actionable guidance for the profession.","As this article is a briefing/insight commissioned by the editor, it has been subject to editorial review only. The insights presented in this article are deeply informed by the thought-provoking discussions and valuable contributions of the keynote panel at the Pacific Rim Real Estate Society (PRRES) 2025 conference. I would like to express my sincere gratitude to my fellow panellists — Asso. Professor Desmond Tsang (Chinese University Hong Kong), Asso. Professor Douw Boshoff (University of Pretoria, South Africa), Ken Rayner (Curtin University, Australia), and Dr Muhammad Najib Razali (Universiti Teknologi, Malaysia), —for their expert perspectives and collaborative engagement. The panel, moderated by Amelia Hodge, CEO of the Australian Property Institute (API), provided invaluable insights that greatly shaped the ideas explored in this article. The PRRES conferences served as essential platform for sharing knowledge and advancing the discussion on the future of property professionals. For more information on the conference, please visit: https://www.prres.org/conference.",,Journal of Property Investment & Finance,,,,2025-02-20,2025,2025-02-20,2025-03-13,43,3,357-362,Closed,Article,"Cheung, Ka Shing","Cheung, Ka Shing (Department of Property, The University of Auckland, Auckland, New Zealand)","Cheung, Ka Shing (University of Auckland)","Cheung, Ka Shing (University of Auckland)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1185659333,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",
898,pub.1173678638,10.21285/2227-2917-2024-2-356-366,,,Digitalization of the construction industry: prospects and challenges,"The digitalization of the construction industry in the Russian Federation becomes a key factor in achieving sustainable development and increasing the competitiveness of the industry in the global market. The article investigates the dynamics and prospects of digital transformation of the construction industry in the Russian Federation. The authors examine the appearance of digitalization as an instrument of global innovative processes, as well as its impact on the development of modern society. Particular attention is paid to the current state of applying digital technologies in the construction industry, with a focus on identifying the key trends. The factors that facilitate or hinder the digitalization process are outlined, including technological, economic, and organizational aspects. The importance of creating a digital dimension of the construction industry as a basis for similar projects in other spheres of human life is noted. The contribution of large and small real estate developers to digital solutions, as well as the interaction between public authorities and the private sector in this regard, is considered. Particular emphasis is placed on addressing the current challenges facing the industry in the digitalization context. In conclusion, the importance of digitalization in strengthening the competitiveness of the Russian construction industry in the global market and the need for a strategic approach to its implementation is highlighted.",,,Izvestiya vuzov Investitsii Stroitelstvo Nedvizhimost,,,,2024-07-07,2024,2024-07-07,,14,2,356-366,All OA; Gold,Article,"Stepanov, A. V.; Matveeva, M. V.; Peshkova, E. S.","Stepanov, A. V. (Irkutsk National Research Technical University); Matveeva, M. V. (Irkutsk National Research Technical University); Peshkova, E. S. (Irkutsk National Research Technical University)",,"Stepanov, A. V. (National Research Irkutsk State Technical University); Matveeva, M. V. (National Research Irkutsk State Technical University); Peshkova, E. S. (National Research Irkutsk State Technical University)",2,2,,,https://inbure.elpub.ru/jour/article/download/236/219,https://app.dimensions.ai/details/publication/pub.1173678638,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering,"9 Industry, Innovation and Infrastructure"
882,pub.1186410822,10.36750/2524-2555.76.85-92,,,DEFINING COMPONENTS OF THE METHODOLOGICAL PLATFORM FOR FORMING A BUSINESS PORTFOLIO OF A COMPANY IN THE UPDATED FORMAT OF MODERN DEVELOPMENT,"The article is devoted to the analysis of the economic and operational imperatives of forming a business portfolio for a development company in the construction sector. A successful business portfolio management strategy requires the integration of financial, organizational, and technological aspects to ensure the sustainability and competitiveness of the business. In modern conditions, real estate development is one of the key factors that determines the dynamics of enterprise development, as it includes a comprehensive approach to asset management, from planning and financing to the construction and operation of objects. The theoretical and methodological foundations of the genesis of development at the current stage of the construction market's evolution have been analyzed.The methodological platform for forming a business portfolio should be based on the principles of rational resource management, risk analysis, and technological optimization. Changes in development activities require the active use of digital tools and a comprehensive approach to managing residential, commercial, and industrial properties, which allows for the maximization of profitability and minimization of risks.The article discusses the main stages of portfolio formation, such as strategic planning, selection of investment objects, and their integration into the overall structure of the enterprise. An economic and mathematical formalization of the process is also provided. For the successful operation of a development company, it is crucial to ensure coordinated work at all stages of the project — from planning and financing to construction and commissioning of the facilities.Particular attention is paid to the methods of economic and mathematical modelling (EMM) and quantitative risk analysis, which have become the basis for the development of the latest asset management strategies. The study analyses 35 different techniques. Each methodology offers unique tools for the effective management of development projects that allow forecasting financial flows, determining optimal investment strategies, and building the best plans for the development of a real estate portfolio. The specific methods used to value residential, commercial and industrial real estate are also discussed, taking into account their different levels of risk and return.It is important to note that the updated methodological platform is suitable for adaptation to the latest technologies and digital tools. This includes the introduction of a project management system, the use of artificial intelligence technologies to analyse large amounts of data, and the use of analytical tools to predict market trends. This approach helps to optimise asset management in a changing market environment. The analysis of the main components of the business portfolio formation platform also showed that important factors for the successful implementation of development projects are the speed of response to market changes, flexibility of management decisions, and the ability to minimise risks at all stages of the project.",,,Building production,,,,2024-09-18,2024,2024-09-18,,,76,85,Closed,Article,"Зайчук, С. В.","Зайчук, С. В. ()",,"Зайчук, С. В. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1186410822,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour",
880,pub.1109972839,10.4324/9781351139328-13,,,Data and politics of information,"In the neoliberal model of urban development, policy makers have displaced architects and urbanists in planning and designing cities, or at least, one could argue, architects and urbanists have been removed from key decisions. In many cases, the implicit claim is that the market decides the form of the city. Architects have been criticised for designing cities from top-down structuring visions, apparently proposing autonomous, unrealistic ideas. But the result of this process perhaps escapes the personal agendas of policy makers, who often end up following autonomous managerial real-estate parameters, which by default arrive at defining land ownership rights, zoning regulations, parks, infrastructure, transportation, the city fabric, the city block, and predominant building typologies. Moreover, financial parameters ended up defining urban uses without addressing architecture and urbanism as a field of study and disregarding previous revolutions in urbanism such as health, public space, and the integral relationship of cities with the environment. While this neoliberal ideology pressures public space, parks, and the environment, turning them into commodities, it seems that a clear, politically urban position today would be to activate and expand urban voids and promote latent ecologies. These issues are discussed through an academic-studio research that aims to understand the contemporary city as a topologically continuous space-environment, proposing transformations of the overall structure of New York City by specific accumulative interventions, gathering, processing, and transforming Big Data including fluid-dynamic information. Architects have been criticised for designing cities from top-down structuring visions, apparently proposing autonomous, unrealistic ideas. Standardized predetermination can be an advantage, but also quite problematic. The neoliberal model of private development, for instance “the corporate skyline,” replaced the policies based on the interests of the commons of public state development for the motto that urban growth follows finance, informing the overall structure of cities, including their infrastructure. Clusters of detached buildings developed by large, concentrated capital went against the balance of cities at multiple levels, all the way from the social to the environmental, affecting even their own interests, such as sustainable long term economic models. New technological models seem to start to address the necessary distribution demanded by democracy for transparency by empowering populations through bottom-up participatory processes.",,,,"Data, Architecture and the Experience of Place",Anastasia Karandinou,,2018-11-12,2018,2018-11-12,2018-11-12,,,210-231,Closed,Chapter,"Lorenzo-Eiroa, Pablo","Lorenzo-Eiroa, Pablo ()",,"Lorenzo-Eiroa, Pablo ()",1,0,,0.31,,https://app.dimensions.ai/details/publication/pub.1109972839,33 Built Environment and Design; 3301 Architecture; 3304 Urban and Regional Planning; 44 Human Society; 4406 Human Geography; 4407 Policy and Administration,11 Sustainable Cities and Communities
836,pub.1171628829,10.46793/urbanizam24.255mv,,,LAND PARCEL - INFORMATION HOLDER INTEGRATING LAND MANAGEMENT DIGITAL DATA IN THE 21ST CENTURY,"In the 21st century, keeping pace with technological advancements, digitally stored and accessible information offers a wide range of opportunities. With the multidisciplinary nature of science and business, an increasing number of different fields recognize the significance and utilize various types of data. A cadastral parcel, as a key component of the National Spatial Data Infrastructure, can contain diverse types of information relevant to its identification, management, and utilization. By combining well-structured and geospatially oriented data, such as geographic, ownership, historical, legal, topographic, infrastructural, tax-related, and planning data, information retrieval at the parcel level is facilitated. Considering a parcel as an ""information bearer,"" it underscores the interconnectedness between physical space and the associated data. The goal is for modern cadastral systems to integrate the National Spatial Data Infrastructure along with their subsystems, including geographic information systems, to efficiently manage and analyze parcel data, thus facilitating decision-making processes related to land administration, urban planning, real estate development, and resource management. The importance of data standardization becomes crucial for quality information management concerning parcels. Through the integration of artificial intelligence and machine learning, the future lies in creating smart cities that utilize parcel data for optimizing land use, planning infrastructure development, fostering sustainable communities and enhancing the quality of life for citizens. These are just some of the possibilities for parcels to become a rich source of information useful for various purposes, including urban planning, land management, sustainabile development, implementation and planning of fiscal policy, and transparent inclusion of population. The integration of technologies such as GIS, data analytics, and open data promises to enhance the ability to use parcel information for timely and informed decision-making.",,,,Urbanism and sustainable development,,,2024,2024,2024,2024,,,255-260,Closed,Proceeding,"Matić Varenica, Jelena; Rikanović, Saša; Šimunić, Vanja; Šimunović, Željko","Matić Varenica, Jelena (); Rikanović, Saša (); Šimunić, Vanja (); Šimunović, Željko ()",,"Matić Varenica, Jelena (); Rikanović, Saša (); Šimunić, Vanja (); Šimunović, Željko ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1171628829,37 Earth Sciences; 3704 Geoinformatics; 40 Engineering; 4013 Geomatic Engineering,15 Life on Land
835,pub.1149865132,10.48264/vvsiev-20223006,,,A multi-criteria composite indicator to support sustainable investment choices in the built environment / Un indicatore composito multicriteriale a supporto delle decisioni di investimento sul patrimonio edificato,"The economic crisis generated by the current Covid-19 has scratched many of the certainties consolidated in the past, highlighting the fragility of the economic system and the need for a more efficient management of the investments. Extreme events, whether environmental, social, health and economic, trigger off shocks to which it is necessary to promptly react. Starting from these premises, many institutional investors are directing their capitals towards environmental interventions. In the real estate field this translates into promoting initiatives to improve the efficiency of the existing building heritage, in line with the concept of Circular Economy, and avoiding soil sealing. In the present research a composite indicator that allows to analyze the performance of different real estate investments (e.g. new construction, demolition and reconstruction, renovation, etc.) has been proposed. The performance is assessed with respect to the expected profitability, the specific characteristics of the market in which the initiatives are located and the different risk-return profiles that characterize the investors. The case study, relating to two different investments located in Rome (Italy), has allowed to test the effectiveness and the limits of the proposed indicator and the possible application fields. La crisi economica innescata dalla pandemia da Covid-19 ha determinato un diffuso clima di incertezza, evidenziando la fragilità del sistema economico e la necessità di una gestione maggiormente efficiente degli investimenti sul territorio. Eventi estremi (ambientali, sociali, sanitari, economici) generano shock ai quali è necessario reagire prontamente, e per tale ragione molti investitori istituzionali stanno indirizzando i loro capitali verso interventi sostenibili. Nel settore immobiliare questo trend si traduce nella promozione di iniziative finalizzate a migliorare l’efficienza del patrimonio edilizio esistente, coerentemente con i principi dell’economia circolare, e con il contrasto del consumo di suolo. Nella presente ricerca è stato proposto un indicatore composito, che consente di analizzare la performance di diversi investimenti immobiliari (nuove costruzioni, demolizioni e ricostruzioni, ristrutturazioni, ecc.), valutati rispetto alla redditività attesa, alle caratteristiche specifiche del mercato immobiliare di riferimento delle iniziative considerate ed ai diversi profili di rischio-rendimento degli investitori. Il caso studio, relativo a due differenti investimenti localizzati nella città di Roma (Italia), ha permesso di testare l’efficacia ed i limiti dell’indicatore proposto, oltre che i possibili campi di applicazione.",,,Valori e Valutazioni,,,,2022-08,2022,2022-08,,30,,85-100,All OA; Gold,Article,"Locurcio, Marco; Tajani, Francesco; Anelli, Debora; Ranieri, Rossana","Locurcio, Marco (Politecnico di Bari, Dipartimento di Ingegneria Civile, Ambientale, del Territorio, Edile e di Chimi); Tajani, Francesco (Università “Sapienza” di Roma, Dipartimento di Architettura e Progetto); Anelli, Debora (Politecnico di Bari, Dipartimento di Ingegneria Civile, Ambientale, del Territorio, Edile e di Chimi); Ranieri, Rossana (Università “Sapienza” di Roma, Dipartimento di Architettura e Progetto)",,"Locurcio, Marco (Politecnico di Bari, Dipartimento di Ingegneria Civile, Ambientale, del Territorio, Edile e di Chimi); Tajani, Francesco (Sapienza University of Rome); Anelli, Debora (Politecnico di Bari, Dipartimento di Ingegneria Civile, Ambientale, del Territorio, Edile e di Chimi); Ranieri, Rossana (Sapienza University of Rome)",8,7,,,https://siev.org/wp-content/uploads/2022/07/06_LOCURCIO-ET-AL-.pdf,https://app.dimensions.ai/details/publication/pub.1149865132,,
828,pub.1175977871,10.3390/su16198312,,,Spatial–Temporal Development Trends and Influencing Factors of Government Environmental Information Disclosure: Empirical Evidence Based on China’s Provincial Panel Data,"Government environmental information disclosure (GEID) plays an important role in promoting the digital transformation of environmental governance, leading the concept of sustainable development, enhancing public oversight capacity, and promoting democratic decision-making governance. Using provincial panel data from China spanning from 2009 to 2021, we conducted spatial data exploratory analysis and used the dynamic spatial panel model to investigate the spatial–temporal development trends and influencing factors of GEID. The results show that (1) GEID in China exhibits significant spatial agglomeration characteristics, with an “H-H” (High-High aggregation type) agglomeration characteristic observed in three national strategic development regions: Yangtze River Delta, southeast coastal areas, and Beijing–Tianjin–Hebei region. (2) The spillover effect from the southeast coastal provinces gradually radiates to the northwest, resulting in an overall westward movement of GEID. (3) GEID exhibits a significant path-dependency feature in the temporal dimension and a “peer effect” in the spatial dimension. (4) Population size has the greatest impact on GEID. Population size, public participation, and the industrial and transportation sectors positively influence GEID improvement at the local level. However, they generate negative spillover effects to neighbouring provinces. Environmental status and the size of the Real Estate sector have no significant effect. Therefore, China should strengthen regional cooperation, narrow regional disparities, cultivate new quality productive forces, establish a government-led proactive disclosure mechanism under public supervision, and improve the level of GEID at the national level.",,This research was funded by Basic Scientific Research Funds in National Nonprofit Institutes (No. 2019YSKY001).,Sustainability,,,,2024-09-24,2024,2024-09-24,,16,19,8312,All OA; Gold,Article,"Xin, Boda; Lv, Lianhong; Dong, Jingjing","Xin, Boda (Chinese Research Academy of Environmental Sciences, Beijing 100012, China); Lv, Lianhong (Chinese Research Academy of Environmental Sciences, Beijing 100012, China); Dong, Jingjing (Chinese Research Academy of Environmental Sciences, Beijing 100012, China)","Lv, Lianhong (Chinese Research Academy of Environmental Sciences)","Xin, Boda (Chinese Research Academy of Environmental Sciences); Lv, Lianhong (Chinese Research Academy of Environmental Sciences); Dong, Jingjing (Chinese Research Academy of Environmental Sciences)",0,0,,,https://doi.org/10.3390/su16198312,https://app.dimensions.ai/details/publication/pub.1175977871,37 Earth Sciences; 3704 Geoinformatics; 44 Human Society,
824,pub.1155920773,10.1007/978-3-031-11132-7_8,,,"Industry: Global Trends, Players, and Networks in the Theme Park Industry","The theme park industry is expanding worldwide, merging with other entertainment and attractions firms, and diversifying toward other areas of amusement, leisure, and consumption. In addition to large transmedia corporations with clear global positioning, the theme park industry also comprises a diverse array of regional companies, including independent attractions, family-owned parks, high-tech facilities, cultural/heritage/environmental-based parks, or small entertainment facilities. Moreover, connections between theme park operators and real estate corporations, shopping outlet companies, and other entertainment activities such as zoos, water parks, or corporate centers have been increasing. This chapter seeks to disentangle the theme park industry system, outlining the various types of theme park organizations, the importance of the main park operators and brands in the evolution of the industry, and the role of the many players that participate in the value chain of the theme park experience delivery. Mainstream trends in the current dynamics of the industry concerning sustainability, social responsibility, digital transformation, and safety/security are discussed, as is the role of influential organizations such as the International Association of Amusement Parks and Attractions (IAAPA) or Themed Entertainment Association (TEA) in setting standards for the industry. Finally, the chapter reflects on the impact of COVID-19 on the theme park industry in different local contexts and depending on the type and characteristics of each venue.",,,,Key Concepts in Theme Park Studies,,,2023-03-04,2023,2023-03-04,2023,,,143-166,Closed,Chapter,"Anton Clavé, Salvador; Carlà-Uhink, Filippo; Freitag, Florian","Anton Clavé, Salvador (Departament de Geografia, Universitat Rovira i Virgili, Vila-seca, Spain); Carlà-Uhink, Filippo (Historisches Institut, Universität Potsdam, Potsdam, Germany); Freitag, Florian (Institut für Anglophone Studien, Universität Duisburg-Essen, Essen, Germany)","Anton Clavé, Salvador (Rovira i Virgili University)","Anton Clavé, Salvador (Rovira i Virgili University); Carlà-Uhink, Filippo (University of Potsdam); Freitag, Florian (University of Duisburg-Essen)",4,3,,4.27,,https://app.dimensions.ai/details/publication/pub.1155920773,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3507 Strategy, Management and Organisational Behaviour",
821,pub.1139274924,10.1007/978-3-030-67190-7_10,,,Development of a Biophysical Economics Module for the Global Integrated Assessment Model WORLD7,"The WORLD7WORLD7 model is an integrated assessment modelIntegrated assessment model. It includes a biophysicalBiophysicalglobal economic modelEconomic model, based on first principles of physics and thermodynamics for consistency. In the WORLD7 model, revenue and profits come from extractionExtractionof natural resourcesNatural resources, input of human labour, mechanization, automation, the effect of innovation and the conversion of natural resourcesNatural resources by manufacturing to goods, work and services. MonetizationMonetization takes place through market mechanisms and debt financing. The economic moduleEconomic module flowchartincludes capital stocksCapital stocks for resource extraction, industrial manufacture, social services, agricultural foodFood production, military, speculation, real estate, consumer credits and illegal activity. These are linked to resource extraction, energy productionEnergy production, populationPopulationdynamics, foodFood production, manufacture of consumer goods and provision of services. It connects to environmental pollution with feedbacks and inputs to human health and climate changeClimate change inside the model. The WORLD7WORLD7 model was tested against observed GDPGDPand GDPGDP per capita for the period 1850–2015. The results were obtained from first principles and without calibrationCalibration to any data time-series. The results show resource extraction as the root cause of economic growthGrowth, and that human labour and technology development depend on this. The results show that as resource extractionsExtraction culminate, gross domestic product will culminate and decline.",,,Contemporary Systems Thinking,Feedback Economics,"Robert Y. Cavana, Brian C. Dangerfield, Oleg V. Pavlov, Michael J. Radzicki, I. David Wheat",,2021-07-01,2021,2021-07-01,2021,,,247-283,Closed,Chapter,"Sverdrup, Harald Ulrik; Olafsdottir, Anna Hulda; Ragnarsdottir, Kristin Vala","Sverdrup, Harald Ulrik (Gamification and Interactive Simulation, Inland Norway University of Applied Sciences, Holsetgaten 31, 2318, Hamar, Norway; Icelandic System Dynamics Center (ISDC), Industrial Engineering, University of Iceland, Hjarðarhagi 2-6, IS-107, Reykjavik, Iceland); Olafsdottir, Anna Hulda (Icelandic System Dynamics Center (ISDC), Industrial Engineering, University of Iceland, Hjarðarhagi 2-6, IS-107, Reykjavik, Iceland); Ragnarsdottir, Kristin Vala (Earth Sciences, University of Iceland, Askja IS-101, Reykjavik, Iceland)","Sverdrup, Harald Ulrik (Inland Norway University of Applied Sciences; University of Iceland)","Sverdrup, Harald Ulrik (Inland Norway University of Applied Sciences; University of Iceland); Olafsdottir, Anna Hulda (University of Iceland); Ragnarsdottir, Kristin Vala (University of Iceland)",13,10,,5.83,,https://app.dimensions.ai/details/publication/pub.1139274924,38 Economics; 3801 Applied Economics,
